Date,Close/Last,Volume,Open,High,Low
03/18/2020,0.392077,--,0.398459,0.420085,0.380364
03/17/2020,0.410876,--,0.406148,0.419433,0.380569
03/16/2020,0.37066,--,0.370711,0.390926,0.349818
03/13/2020,0.420346,--,0.412036,0.445511,0.299781
3/12/2020,0.433767,--,0.443864,0.600026,0.411887
3/11/2020,0.593297,--,0.600539,0.608817,0.574769
3/10/2020,0.608136,--,0.622143,0.623074,0.597012
3/09/2020,0.594271,--,0.603489,0.619059,0.575764
3/06/2020,0.700969,--,0.694222,0.700969,0.689536
3/05/2020,0.689164,--,0.686607,0.689169,0.686446
3/04/2020,0.680101,--,0.680242,0.68189,0.679526
3/03/2020,0.674927,--,0.673378,0.677768,0.673378
3/02/2020,0.679581,--,0.678915,0.680993,0.678058
02/28/2020,0.66502,--,0.659039,0.669152,0.649511
02/27/2020,0.679467,--,0.679785,0.679872,0.676634
02/26/2020,0.651789,--,0.650611,0.654191,0.642644
02/25/2020,0.708195,--,0.721454,0.723058,0.707481
02/24/2020,0.757363,--,0.757073,0.76004,0.757019
02/21/2020,0.767073,--,0.770565,0.776245,0.751844
02/20/2020,0.759281,--,0.754347,0.759511,0.751844
02/19/2020,0.762087,--,0.764223,0.765416,0.760875
02/18/2020,0.812791,--,0.807349,0.812791,0.807336
02/14/2020,0.858093,--,0.841123,0.860616,0.819339
02/13/2020,0.835326,--,0.835324,0.839486,0.834015
2/12/2020,0.84261,--,0.844269,0.846978,0.842423
2/11/2020,0.817,--,0.81923,0.819547,0.814786
2/10/2020,0.763284,--,0.764047,0.766418,0.758471
2/07/2020,0.750416,--,0.752565,0.758039,0.746723
2/06/2020,0.750351,--,0.743819,0.75604,0.740731
2/05/2020,0.735222,--,0.732889,0.735814,0.730462
2/04/2020,0.699454,--,0.698962,0.702646,0.698781
2/03/2020,0.70664,--,0.708794,0.708794,0.706021
01/31/2020,0.70011,--,0.691022,0.700247,0.687532
01/30/2020,0.709521,--,0.712218,0.712658,0.708275
01/29/2020,0.686033,--,0.683169,0.688119,0.681459
01/28/2020,0.695543,--,0.696626,0.698131,0.692943
01/27/2020,0.679653,--,0.668159,0.68178,0.668159
01/24/2020,0.627862,--,0.627805,0.633634,0.607964
01/23/2020,0.623137,--,0.625457,0.626189,0.622693
01/22/2020,0.645568,--,0.64678,0.647285,0.644896
01/21/2020,0.65384,--,0.649918,0.654814,0.63403
01/17/2020,0.665972,--,0.656906,0.672681,0.651449
01/16/2020,0.645885,--,0.644472,0.646947,0.643591
01/15/2020,0.642252,--,0.647282,0.650375,0.639459
01/14/2020,0.654857,--,0.66325,0.665001,0.650953
01/13/2020,0.589601,--,0.583159,0.589929,0.582142
1/10/2020,0.578136,--,0.567419,0.585261,0.550061
